Request id,Pickup point,Driver id,Driver assigned or not ?,Status,Request Timestamp,Request Date,Request Time,Req. time in hr ,Time Slot ,Request weekday,Drop Timestamp,Drop Date,Drop Time,Trip completed ?,Trip duration ,Time Duration In Mins.
66,City,255,Yes,Trip Completed,11-07-2016 04:21,11-07-2016,04:21,4.00,Early Morning,Monday,11-07-2016 04:54,11-07-2016,04:54,yes,00:33,33.00
67,Airport,NA,No,No Cars Available,11-07-2016 04:24,11-07-2016,04:24,4.00,Early Morning,Monday,NA,NA,,No,,
68,Airport,NA,No,No Cars Available,11-07-2016 04:27,11-07-2016,04:27,4.00,Early Morning,Monday,NA,NA,,No,,
69,Airport,NA,No,No Cars Available,11-07-2016 04:27,11-07-2016,04:27,4.00,Early Morning,Monday,NA,NA,,No,,
70,City,80,Yes,Trip Completed,11-07-2016 04:34,11-07-2016,04:34,4.00,Early Morning,Monday,11-07-2016 05:30,11-07-2016,05:30,yes,00:56,56.00
71,City,NA,No,No Cars Available,11-07-2016 04:37,11-07-2016,04:37,4.00,Early Morning,Monday,NA,NA,,No,,
72,City,NA,No,No Cars Available,11-07-2016 04:36,11-07-2016,04:36,4.00,Early Morning,Monday,NA,NA,,No,,
73,Airport,NA,No,No Cars Available,11-07-2016 04:36,11-07-2016,04:36,4.00,Early Morning,Monday,NA,NA,,No,,
74,Airport,239,Yes,Trip Completed,11-07-2016 04:38,11-07-2016,04:38,4.00,Early Morning,Monday,11-07-2016 05:44,11-07-2016,05:44,yes,01:06,66.00
75,Airport,NA,No,No Cars Available,11-07-2016 04:40,11-07-2016,04:40,4.00,Early Morning,Monday,NA,NA,,No,,
76,City,158,Yes,Cancelled,11-07-2016 04:45,11-07-2016,04:45,4.00,Early Morning,Monday,NA,NA,,No,,
77,City,171,Yes,Cancelled,11-07-2016 04:46,11-07-2016,04:46,4.00,Early Morning,Monday,NA,NA,,No,,
78,City,NA,No,No Cars Available,11-07-2016 04:45,11-07-2016,04:45,4.00,Early Morning,Monday,NA,NA,,No,,
79,City,NA,No,No Cars Available,11-07-2016 04:43,11-07-2016,04:43,4.00,Early Morning,Monday,NA,NA,,No,,
80,City,3,Yes,Cancelled,11-07-2016 04:47,11-07-2016,04:47,4.00,Early Morning,Monday,NA,NA,,No,,
81,Airport,73,Yes,Trip Completed,11-07-2016 04:47,11-07-2016,04:47,4.00,Early Morning,Monday,11-07-2016 06:00,11-07-2016,06:00,yes,01:13,73.00
82,Airport,290,Yes,Trip Completed,11-07-2016 04:47,11-07-2016,04:47,4.00,Early Morning,Monday,11-07-2016 05:23,11-07-2016,05:23,yes,00:36,36.00
83,City,NA,No,No Cars Available,11-07-2016 04:44,11-07-2016,04:44,4.00,Early Morning,Monday,NA,NA,,No,,
84,City,28,Yes,Trip Completed,11-07-2016 04:50,11-07-2016,04:50,4.00,Early Morning,Monday,11-07-2016 05:26,11-07-2016,05:26,yes,00:36,36.00
85,City,144,Yes,Cancelled,11-07-2016 04:47,11-07-2016,04:47,4.00,Early Morning,Monday,NA,NA,,No,,
86,City,174,Yes,Cancelled,11-07-2016 04:51,11-07-2016,04:51,4.00,Early Morning,Monday,NA,NA,,No,,
87,City,213,Yes,Trip Completed,11-07-2016 04:46,11-07-2016,04:46,4.00,Early Morning,Monday,11-07-2016 05:26,11-07-2016,05:26,yes,00:40,40.00
88,Airport,76,Yes,Trip Completed,11-07-2016 04:54,11-07-2016,04:54,4.00,Early Morning,Monday,11-07-2016 06:07,11-07-2016,06:07,yes,01:13,73.00
89,City,280,Yes,Trip Completed,11-07-2016 04:52,11-07-2016,04:52,4.00,Early Morning,Monday,11-07-2016 05:51,11-07-2016,05:51,yes,00:59,59.00
90,Airport,126,Yes,Trip Completed,11-07-2016 04:53,11-07-2016,04:53,4.00,Early Morning,Monday,11-07-2016 05:34,11-07-2016,05:34,yes,00:41,41.00
91,Airport,234,Yes,Trip Completed,11-07-2016 04:49,11-07-2016,04:49,4.00,Early Morning,Monday,11-07-2016 05:39,11-07-2016,05:39,yes,00:50,50.00
92,City,16,Yes,Cancelled,11-07-2016 04:53,11-07-2016,04:53,4.00,Early Morning,Monday,NA,NA,,No,,
93,City,69,Yes,Trip Completed,11-07-2016 04:53,11-07-2016,04:53,4.00,Early Morning,Monday,11-07-2016 05:30,11-07-2016,05:30,yes,00:37,37.00
94,City,265,Yes,Trip Completed,11-07-2016 04:59,11-07-2016,04:59,4.00,Early Morning,Monday,11-07-2016 05:58,11-07-2016,05:58,yes,00:59,59.00
95,Airport,270,Yes,Trip Completed,11-07-2016 04:54,11-07-2016,04:54,4.00,Early Morning,Monday,11-07-2016 06:03,11-07-2016,06:03,yes,01:09,69.00
96,City,21,Yes,Cancelled,11-07-2016 04:58,11-07-2016,04:58,4.00,Early Morning,Monday,NA,NA,,No,,
97,City,138,Yes,Trip Completed,11-07-2016 05:01,11-07-2016,05:01,5.00,Early Morning,Monday,11-07-2016 05:39,11-07-2016,05:39,yes,00:38,38.00
98,City,205,Yes,Cancelled,11-07-2016 04:58,11-07-2016,04:58,4.00,Early Morning,Monday,NA,NA,,No,,
99,City,70,Yes,Cancelled,11-07-2016 05:00,11-07-2016,05:00,5.00,Early Morning,Monday,NA,NA,,No,,
100,City,256,Yes,Trip Completed,11-07-2016 05:00,11-07-2016,05:00,5.00,Early Morning,Monday,11-07-2016 05:47,11-07-2016,05:47,yes,00:47,47.00
101,Airport,99,Yes,Trip Completed,11-07-2016 05:08,11-07-2016,05:08,5.00,Early Morning,Monday,11-07-2016 06:09,11-07-2016,06:09,yes,01:01,61.00
102,Airport,100,Yes,Trip Completed,11-07-2016 05:01,11-07-2016,05:01,5.00,Early Morning,Monday,11-07-2016 05:38,11-07-2016,05:38,yes,00:37,37.00
103,City,NA,No,No Cars Available,11-07-2016 05:02,11-07-2016,05:02,5.00,Early Morning,Monday,NA,NA,,No,,
104,City,NA,No,No Cars Available,11-07-2016 05:00,11-07-2016,05:00,5.00,Early Morning,Monday,NA,NA,,No,,
105,City,182,Yes,Cancelled,11-07-2016 04:58,11-07-2016,04:58,4.00,Early Morning,Monday,NA,NA,,No,,
106,City,194,Yes,Trip Completed,11-07-2016 05:06,11-07-2016,05:06,5.00,Early Morning,Monday,11-07-2016 05:38,11-07-2016,05:38,yes,00:32,32.00
107,City,215,Yes,Cancelled,11-07-2016 05:02,11-07-2016,05:02,5.00,Early Morning,Monday,NA,NA,,No,,
108,City,248,Yes,Cancelled,11-07-2016 05:09,11-07-2016,05:09,5.00,Early Morning,Monday,NA,NA,,No,,
109,City,284,Yes,Cancelled,11-07-2016 05:01,11-07-2016,05:01,5.00,Early Morning,Monday,NA,NA,,No,,
110,City,22,Yes,Trip Completed,11-07-2016 05:05,11-07-2016,05:05,5.00,Early Morning,Monday,11-07-2016 06:06,11-07-2016,06:06,yes,01:01,61.00
111,City,62,Yes,Cancelled,11-07-2016 05:06,11-07-2016,05:06,5.00,Early Morning,Monday,NA,NA,,No,,
112,Airport,116,Yes,Trip Completed,11-07-2016 05:01,11-07-2016,05:01,5.00,Early Morning,Monday,11-07-2016 06:04,11-07-2016,06:04,yes,01:03,63.00
113,City,185,Yes,Cancelled,11-07-2016 05:09,11-07-2016,05:09,5.00,Early Morning,Monday,NA,NA,,No,,
114,City,217,Yes,Trip Completed,11-07-2016 05:10,11-07-2016,05:10,5.00,Early Morning,Monday,11-07-2016 05:40,11-07-2016,05:40,yes,00:30,30.00
115,City,244,Yes,Cancelled,11-07-2016 05:14,11-07-2016,05:14,5.00,Early Morning,Monday,NA,NA,,No,,
116,Airport,286,Yes,Trip Completed,11-07-2016 05:07,11-07-2016,05:07,5.00,Early Morning,Monday,11-07-2016 05:53,11-07-2016,05:53,yes,00:46,46.00
117,City,NA,No,No Cars Available,11-07-2016 05:13,11-07-2016,05:13,5.00,Early Morning,Monday,NA,NA,,No,,
118,Airport,44,Yes,Trip Completed,11-07-2016 05:11,11-07-2016,05:11,5.00,Early Morning,Monday,11-07-2016 05:52,11-07-2016,05:52,yes,00:41,41.00
119,City,204,Yes,Cancelled,11-07-2016 05:10,11-07-2016,05:10,5.00,Early Morning,Monday,NA,NA,,No,,
120,City,268,Yes,Cancelled,11-07-2016 05:04,11-07-2016,05:04,5.00,Early Morning,Monday,NA,NA,,No,,
121,Airport,63,Yes,Trip Completed,11-07-2016 05:13,11-07-2016,05:13,5.00,Early Morning,Monday,11-07-2016 06:08,11-07-2016,06:08,yes,00:55,55.00
122,City,124,Yes,Cancelled,11-07-2016 05:14,11-07-2016,05:14,5.00,Early Morning,Monday,NA,NA,,No,,
123,City,130,Yes,Trip Completed,11-07-2016 05:12,11-07-2016,05:12,5.00,Early Morning,Monday,11-07-2016 06:14,11-07-2016,06:14,yes,01:02,62.00
124,City,NA,No,No Cars Available,11-07-2016 05:12,11-07-2016,05:12,5.00,Early Morning,Monday,NA,NA,,No,,
125,City,38,Yes,Trip Completed,11-07-2016 05:12,11-07-2016,05:12,5.00,Early Morning,Monday,11-07-2016 06:17,11-07-2016,06:17,yes,01:05,65.00
126,City,40,Yes,Cancelled,11-07-2016 05:05,11-07-2016,05:05,5.00,Early Morning,Monday,NA,NA,,No,,
127,City,173,Yes,Cancelled,11-07-2016 05:10,11-07-2016,05:10,5.00,Early Morning,Monday,NA,NA,,No,,
128,City,43,Yes,Trip Completed,11-07-2016 05:12,11-07-2016,05:12,5.00,Early Morning,Monday,11-07-2016 05:48,11-07-2016,05:48,yes,00:36,36.00
129,City,189,Yes,Cancelled,11-07-2016 05:10,11-07-2016,05:10,5.00,Early Morning,Monday,NA,NA,,No,,
130,City,206,Yes,Cancelled,11-07-2016 05:12,11-07-2016,05:12,5.00,Early Morning,Monday,NA,NA,,No,,
131,City,NA,No,No Cars Available,11-07-2016 05:10,11-07-2016,05:10,5.00,Early Morning,Monday,NA,NA,,No,,
132,City,21,Yes,Cancelled,11-07-2016 05:15,11-07-2016,05:15,5.00,Early Morning,Monday,NA,NA,,No,,
133,City,247,Yes,Cancelled,11-07-2016 05:14,11-07-2016,05:14,5.00,Early Morning,Monday,NA,NA,,No,,
134,Airport,121,Yes,Trip Completed,11-07-2016 05:13,11-07-2016,05:13,5.00,Early Morning,Monday,11-07-2016 06:14,11-07-2016,06:14,yes,01:01,61.00
135,City,NA,No,No Cars Available,11-07-2016 05:20,11-07-2016,05:20,5.00,Early Morning,Monday,NA,NA,,No,,
136,City,NA,No,No Cars Available,11-07-2016 05:19,11-07-2016,05:19,5.00,Early Morning,Monday,NA,NA,,No,,
137,City,NA,No,No Cars Available,11-07-2016 05:17,11-07-2016,05:17,5.00,Early Morning,Monday,NA,NA,,No,,
138,City,NA,No,No Cars Available,11-07-2016 05:20,11-07-2016,05:20,5.00,Early Morning,Monday,NA,NA,,No,,
139,Airport,14,Yes,Trip Completed,11-07-2016 05:21,11-07-2016,05:21,5.00,Early Morning,Monday,11-07-2016 06:09,11-07-2016,06:09,yes,00:48,48.00
140,City,279,Yes,Cancelled,11-07-2016 05:17,11-07-2016,05:17,5.00,Early Morning,Monday,NA,NA,,No,,
141,City,49,Yes,Cancelled,11-07-2016 05:20,11-07-2016,05:20,5.00,Early Morning,Monday,NA,NA,,No,,
142,City,134,Yes,Trip Completed,11-07-2016 05:25,11-07-2016,05:25,5.00,Early Morning,Monday,11-07-2016 06:19,11-07-2016,06:19,yes,00:54,54.00
143,Airport,157,Yes,Trip Completed,11-07-2016 05:24,11-07-2016,05:24,5.00,Early Morning,Monday,11-07-2016 06:01,11-07-2016,06:01,yes,00:37,37.00
144,City,291,Yes,Cancelled,11-07-2016 05:24,11-07-2016,05:24,5.00,Early Morning,Monday,NA,NA,,No,,
145,City,33,Yes,Trip Completed,11-07-2016 05:32,11-07-2016,05:32,5.00,Early Morning,Monday,11-07-2016 06:37,11-07-2016,06:37,yes,01:05,65.00
146,Airport,191,Yes,Trip Completed,11-07-2016 05:29,11-07-2016,05:29,5.00,Early Morning,Monday,11-07-2016 06:08,11-07-2016,06:08,yes,00:39,39.00
147,City,267,Yes,Cancelled,11-07-2016 05:26,11-07-2016,05:26,5.00,Early Morning,Monday,NA,NA,,No,,
148,Airport,105,Yes,Trip Completed,11-07-2016 05:36,11-07-2016,05:36,5.00,Early Morning,Monday,11-07-2016 06:46,11-07-2016,06:46,yes,01:10,70.00
149,City,111,Yes,Cancelled,11-07-2016 05:29,11-07-2016,05:29,5.00,Early Morning,Monday,NA,NA,,No,,
150,City,9,Yes,Cancelled,11-07-2016 05:24,11-07-2016,05:24,5.00,Early Morning,Monday,NA,NA,,No,,
151,City,290,Yes,Cancelled,11-07-2016 05:27,11-07-2016,05:27,5.00,Early Morning,Monday,NA,NA,,No,,
152,City,294,Yes,Trip Completed,11-07-2016 05:29,11-07-2016,05:29,5.00,Early Morning,Monday,11-07-2016 06:16,11-07-2016,06:16,yes,00:47,47.00
153,City,NA,No,No Cars Available,11-07-2016 05:33,11-07-2016,05:33,5.00,Early Morning,Monday,NA,NA,,No,,
154,City,NA,No,No Cars Available,11-07-2016 05:31,11-07-2016,05:31,5.00,Early Morning,Monday,NA,NA,,No,,
155,City,13,Yes,Trip Completed,11-07-2016 05:32,11-07-2016,05:32,5.00,Early Morning,Monday,11-07-2016 06:28,11-07-2016,06:28,yes,00:56,56.00
156,Airport,96,Yes,Trip Completed,11-07-2016 05:35,11-07-2016,05:35,5.00,Early Morning,Monday,11-07-2016 06:40,11-07-2016,06:40,yes,01:05,65.00
157,City,226,Yes,Cancelled,11-07-2016 05:38,11-07-2016,05:38,5.00,Early Morning,Monday,NA,NA,,No,,
158,City,289,Yes,Trip Completed,11-07-2016 05:35,11-07-2016,05:35,5.00,Early Morning,Monday,11-07-2016 06:41,11-07-2016,06:41,yes,01:06,66.00
159,City,NA,No,No Cars Available,11-07-2016 05:43,11-07-2016,05:43,5.00,Early Morning,Monday,NA,NA,,No,,
160,Airport,72,Yes,Trip Completed,11-07-2016 05:38,11-07-2016,05:38,5.00,Early Morning,Monday,11-07-2016 06:34,11-07-2016,06:34,yes,00:56,56.00
161,Airport,107,Yes,Trip Completed,11-07-2016 05:36,11-07-2016,05:36,5.00,Early Morning,Monday,11-07-2016 06:10,11-07-2016,06:10,yes,00:34,34.00
162,City,70,Yes,Cancelled,11-07-2016 05:34,11-07-2016,05:34,5.00,Early Morning,Monday,NA,NA,,No,,
163,City,161,Yes,Trip Completed,11-07-2016 05:35,11-07-2016,05:35,5.00,Early Morning,Monday,11-07-2016 06:49,11-07-2016,06:49,yes,01:14,74.00
164,City,137,Yes,Cancelled,11-07-2016 05:40,11-07-2016,05:40,5.00,Early Morning,Monday,NA,NA,,No,,
165,Airport,199,Yes,Trip Completed,11-07-2016 05:39,11-07-2016,05:39,5.00,Early Morning,Monday,11-07-2016 06:11,11-07-2016,06:11,yes,00:32,32.00
166,City,269,Yes,Cancelled,11-07-2016 05:41,11-07-2016,05:41,5.00,Early Morning,Monday,NA,NA,,No,,
167,City,NA,No,No Cars Available,11-07-2016 05:40,11-07-2016,05:40,5.00,Early Morning,Monday,NA,NA,,No,,
168,City,62,Yes,Cancelled,11-07-2016 05:37,11-07-2016,05:37,5.00,Early Morning,Monday,NA,NA,,No,,
169,City,184,Yes,Trip Completed,11-07-2016 05:45,11-07-2016,05:45,5.00,Early Morning,Monday,11-07-2016 06:48,11-07-2016,06:48,yes,01:03,63.00
170,City,113,Yes,Trip Completed,11-07-2016 05:45,11-07-2016,05:45,5.00,Early Morning,Monday,11-07-2016 06:39,11-07-2016,06:39,yes,00:54,54.00
171,City,NA,No,No Cars Available,11-07-2016 05:39,11-07-2016,05:39,5.00,Early Morning,Monday,NA,NA,,No,,
172,Airport,59,Yes,Trip Completed,11-07-2016 05:41,11-07-2016,05:41,5.00,Early Morning,Monday,11-07-2016 06:19,11-07-2016,06:19,yes,00:38,38.00
173,City,188,Yes,Trip Completed,11-07-2016 05:45,11-07-2016,05:45,5.00,Early Morning,Monday,11-07-2016 06:30,11-07-2016,06:30,yes,00:45,45.00
174,Airport,119,Yes,Cancelled,11-07-2016 05:44,11-07-2016,05:44,5.00,Early Morning,Monday,NA,NA,,No,,
175,City,160,Yes,Cancelled,11-07-2016 05:45,11-07-2016,05:45,5.00,Early Morning,Monday,NA,NA,,No,,
176,City,67,Yes,Cancelled,11-07-2016 05:42,11-07-2016,05:42,5.00,Early Morning,Monday,NA,NA,,No,,
177,City,169,Yes,Cancelled,11-07-2016 05:48,11-07-2016,05:48,5.00,Early Morning,Monday,NA,NA,,No,,
178,City,NA,No,No Cars Available,11-07-2016 05:47,11-07-2016,05:47,5.00,Early Morning,Monday,NA,NA,,No,,
179,City,NA,No,No Cars Available,11-07-2016 05:49,11-07-2016,05:49,5.00,Early Morning,Monday,NA,NA,,No,,
180,Airport,112,Yes,Trip Completed,11-07-2016 05:48,11-07-2016,05:48,5.00,Early Morning,Monday,11-07-2016 06:28,11-07-2016,06:28,yes,00:40,40.00
181,City,159,Yes,Cancelled,11-07-2016 05:46,11-07-2016,05:46,5.00,Early Morning,Monday,NA,NA,,No,,
182,Airport,225,Yes,Trip Completed,11-07-2016 05:46,11-07-2016,05:46,5.00,Early Morning,Monday,11-07-2016 06:58,11-07-2016,06:58,yes,01:12,72.00
183,City,252,Yes,Trip Completed,11-07-2016 05:49,11-07-2016,05:49,5.00,Early Morning,Monday,11-07-2016 06:29,11-07-2016,06:29,yes,00:40,40.00
184,City,292,Yes,Cancelled,11-07-2016 05:49,11-07-2016,05:49,5.00,Early Morning,Monday,NA,NA,,No,,
185,City,236,Yes,Cancelled,11-07-2016 05:43,11-07-2016,05:43,5.00,Early Morning,Monday,NA,NA,,No,,
186,City,288,Yes,Cancelled,11-07-2016 05:48,11-07-2016,05:48,5.00,Early Morning,Monday,NA,NA,,No,,
187,City,62,Yes,Cancelled,11-07-2016 05:57,11-07-2016,05:57,5.00,Early Morning,Monday,NA,NA,,No,,
188,City,114,Yes,Cancelled,11-07-2016 05:54,11-07-2016,05:54,5.00,Early Morning,Monday,NA,NA,,No,,
189,City,NA,No,No Cars Available,11-07-2016 05:58,11-07-2016,05:58,5.00,Early Morning,Monday,NA,NA,,No,,
190,City,NA,No,No Cars Available,11-07-2016 05:53,11-07-2016,05:53,5.00,Early Morning,Monday,NA,NA,,No,,
191,Airport,37,Yes,Trip Completed,11-07-2016 05:55,11-07-2016,05:55,5.00,Early Morning,Monday,11-07-2016 06:45,11-07-2016,06:45,yes,00:50,50.00
